Location,Gender,Age group,Count
Nova Scotia,Women+,41 years,6947
Nova Scotia,Women+,42 years,6876
Nova Scotia,Women+,43 years,6697
Nova Scotia,Women+,44 years,6667
Nova Scotia,Women+,45 to 49 years,31734
Nova Scotia,Women+,50 to 54 years,33604
Nova Scotia,Women+,55 to 59 years,36190
Nova Scotia,Women+,60 to 64 years,41694
Nova Scotia,Women+,65 years and older,128567
New Brunswick,Total - gender,16 years,9129
New Brunswick,Total - gender,17 years,8935
New Brunswick,Total - gender,18 years,8784
New Brunswick,Total - gender,19 years,9010
New Brunswick,Total - gender,20 years,9392
New Brunswick,Total - gender,21 years,9498
New Brunswick,Total - gender,22 years,9562
New Brunswick,Total - gender,23 years,9855
New Brunswick,Total - gender,24 years,10557
New Brunswick,Total - gender,25 years,10361
New Brunswick,Total - gender,26 years,10406
New Brunswick,Total - gender,27 years,9948
New Brunswick,Total - gender,28 years,10279
New Brunswick,Total - gender,29 years,10399
New Brunswick,Total - gender,30 years,10615
New Brunswick,Total - gender,31 years,10695
New Brunswick,Total - gender,32 years,10572
New Brunswick,Total - gender,33 years,10899
New Brunswick,Total - gender,34 years,10868
New Brunswick,Total - gender,35 years,10705
New Brunswick,Total - gender,36 years,10746
New Brunswick,Total - gender,37 years,10838
New Brunswick,Total - gender,38 years,11011
New Brunswick,Total - gender,39 years,11079
New Brunswick,Total - gender,40 years,11045
New Brunswick,Total - gender,41 years,11193
New Brunswick,Total - gender,42 years,10875
New Brunswick,Total - gender,43 years,10805
New Brunswick,Total - gender,44 years,10942
New Brunswick,Total - gender,45 to 49 years,52988
New Brunswick,Total - gender,50 to 54 years,54022
New Brunswick,Total - gender,55 to 59 years,57293
New Brunswick,Total - gender,60 to 64 years,64781
New Brunswick,Total - gender,65 years and older,196181
New Brunswick,Men+,16 years,4730
New Brunswick,Men+,17 years,4592
New Brunswick,Men+,18 years,4531
New Brunswick,Men+,19 years,4710
New Brunswick,Men+,20 years,4822
New Brunswick,Men+,21 years,5016
New Brunswick,Men+,22 years,4985
New Brunswick,Men+,23 years,4998
New Brunswick,Men+,24 years,5593
New Brunswick,Men+,25 years,5540
New Brunswick,Men+,26 years,5455
New Brunswick,Men+,27 years,5268
New Brunswick,Men+,28 years,5276
New Brunswick,Men+,29 years,5331
New Brunswick,Men+,30 years,5374
New Brunswick,Men+,31 years,5331
New Brunswick,Men+,32 years,5278
New Brunswick,Men+,33 years,5439
New Brunswick,Men+,34 years,5426
New Brunswick,Men+,35 years,5310
New Brunswick,Men+,36 years,5310
New Brunswick,Men+,37 years,5435
New Brunswick,Men+,38 years,5508
New Brunswick,Men+,39 years,5447
New Brunswick,Men+,40 years,5395
New Brunswick,Men+,41 years,5530
New Brunswick,Men+,42 years,5500
New Brunswick,Men+,43 years,5351
New Brunswick,Men+,44 years,5426
New Brunswick,Men+,45 to 49 years,26240
New Brunswick,Men+,50 to 54 years,26787
New Brunswick,Men+,55 to 59 years,28259
New Brunswick,Men+,60 to 64 years,31926
New Brunswick,Men+,65 years and older,91529
New Brunswick,Women+,16 years,4399
New Brunswick,Women+,17 years,4343
New Brunswick,Women+,18 years,4253
New Brunswick,Women+,19 years,4300
New Brunswick,Women+,20 years,4570
New Brunswick,Women+,21 years,4482
New Brunswick,Women+,22 years,4577
New Brunswick,Women+,23 years,4857
New Brunswick,Women+,24 years,4964
New Brunswick,Women+,25 years,4821
New Brunswick,Women+,26 years,4951
New Brunswick,Women+,27 years,4680
New Brunswick,Women+,28 years,5003
New Brunswick,Women+,29 years,5068
New Brunswick,Women+,30 years,5241
New Brunswick,Women+,31 years,5364
New Brunswick,Women+,32 years,5294
New Brunswick,Women+,33 years,5460
New Brunswick,Women+,34 years,5442
New Brunswick,Women+,35 years,5395
New Brunswick,Women+,36 years,5436
New Brunswick,Women+,37 years,5403
New Brunswick,Women+,38 years,5503
New Brunswick,Women+,39 years,5632
New Brunswick,Women+,40 years,5650
New Brunswick,Women+,41 years,5663
New Brunswick,Women+,42 years,5375
New Brunswick,Women+,43 years,5454
New Brunswick,Women+,44 years,5516
New Brunswick,Women+,45 to 49 years,26748
New Brunswick,Women+,50 to 54 years,27235
New Brunswick,Women+,55 to 59 years,29034
New Brunswick,Women+,60 to 64 years,32855
New Brunswick,Women+,65 years and older,104652
Quebec,Total - gender,16 years,97615
